,precision,recall,f1-score,support
Apple___Apple_scab,0.9834710743801653,0.9153846153846154,0.9482071713147411,130.0
Apple___Black_rot,0.9590163934426229,0.975,0.9669421487603306,120.0
Apple___Cedar_apple_rust,0.9074074074074074,1.0,0.9514563106796117,49.0
Apple___healthy,0.9914772727272727,0.9721448467966574,0.9817158931082982,359.0
Blueberry___healthy,0.9897610921501706,1.0,0.9948542024013722,290.0
Cherry_(including_sour)___Powdery_mildew,0.9803149606299213,1.0,0.9900596421471173,249.0
Cherry_(including_sour)___healthy,0.9821428571428571,0.9939759036144579,0.9880239520958084,166.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7666666666666667,0.8023255813953488,0.7840909090909091,86.0
Corn_(maize)___Common_rust_,1.0,0.9111111111111111,0.9534883720930233,225.0
Corn_(maize)___Northern_Leaf_Blight,0.9141414141414141,0.905,0.9095477386934674,200.0
Corn_(maize)___healthy,0.9469026548672567,0.9953488372093023,0.9705215419501134,215.0
Grape___Black_rot,0.9243027888446215,0.9957081545064378,0.9586776859504132,233.0
Grape___Esca_(Black_Measles),0.9962264150943396,0.946236559139785,0.9705882352941176,279.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9910714285714286,0.9955156950672646,224.0
Grape___healthy,0.9594594594594594,1.0,0.9793103448275862,71.0
Orange___Haunglongbing_(Citrus_greening),0.9990909090909091,0.9954710144927537,0.9972776769509982,1104.0
Peach___Bacterial_spot,0.9903288201160542,0.9808429118773946,0.9855630413859481,522.0
Peach___healthy,0.9078947368421053,1.0,0.9517241379310345,69.0
"Pepper,_bell___Bacterial_spot",0.99,0.9565217391304348,0.972972972972973,207.0
"Pepper,_bell___healthy",0.9713375796178344,0.993485342019544,0.9822866344605475,307.0
Potato___Early_blight,0.966824644549763,0.9951219512195122,0.9807692307692307,205.0
Potato___Late_blight,0.994413407821229,0.9128205128205128,0.9518716577540107,195.0
Potato___healthy,0.9117647058823529,1.0,0.9538461538461539,31.0
Raspberry___healthy,0.9873417721518988,0.9873417721518988,0.9873417721518988,79.0
Soybean___healthy,0.9960435212660732,0.998017839444995,0.997029702970297,1009.0
Squash___Powdery_mildew,0.9943661971830986,0.9971751412429378,0.995768688293371,354.0
Strawberry___Leaf_scorch,0.9760765550239234,1.0,0.9878934624697336,204.0
Strawberry___healthy,0.9894736842105263,1.0,0.9947089947089947,94.0
Tomato___Bacterial_spot,0.95260663507109,0.9828850855745721,0.9675090252707581,409.0
Tomato___Early_blight,0.8847926267281107,0.8930232558139535,0.8888888888888888,215.0
Tomato___Late_blight,0.9317507418397626,0.8579234972677595,0.8933143669985776,366.0
Tomato___Leaf_Mold,0.9483568075117371,0.9853658536585366,0.9665071770334929,205.0
Tomato___Septoria_leaf_spot,0.96045197740113,0.9550561797752809,0.9577464788732394,356.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9833333333333333,0.9190031152647975,0.9500805152979066,321.0
Tomato___Target_Spot,0.8910505836575876,0.9621848739495799,0.9252525252525252,238.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9843317972350231,0.989805375347544,0.9870609981515711,1079.0
Tomato___Tomato_mosaic_virus,0.9821428571428571,0.9166666666666666,0.9482758620689655,60.0
Tomato___healthy,0.9681159420289855,0.9940476190476191,0.9809104258443465,336.0
accuracy,0.9721940889420864,0.9721940889420864,0.9721940889420864,0.9721940889420864
macro avg,0.9595573761226199,0.9651596522235643,0.9617789535215696,10861.0
weighted avg,0.9727235765667506,0.9721940889420864,0.9721095545523628,10861.0
